OrderID,WarehouseID,SKU,OrderMonth,OrderedQty,Priority,Channel
O062,W066,SKU068,2024-02,37,Medium,D2C
O063,W071,SKU075,2024-03,41,Low,Marketplace
O064,W076,SKU082,2024-04,45,High,B2B
O065,W001,SKU089,2024-05,49,Medium,D2C
O066,W006,SKU006,2024-06,53,Low,Marketplace
O067,W011,SKU013,2024-07,57,High,B2B
O068,W016,SKU020,2024-08,61,Medium,D2C
O069,W021,SKU027,2024-09,65,Low,Marketplace
O070,W026,SKU034,2024-10,69,High,B2B
O071,W031,SKU041,2024-11,73,Medium,D2C
O072,W036,SKU048,2024-12,77,Low,Marketplace
O073,W041,SKU055,2024-01,81,High,B2B
O074,W046,SKU062,2024-02,85,Medium,D2C
O075,W051,SKU069,2024-03,89,Low,Marketplace
O076,W056,SKU076,2024-04,18,High,B2B
O077,W061,SKU083,2024-05,22,Medium,D2C
O078,W066,SKU090,2024-06,26,Low,Marketplace
O079,W071,SKU007,2024-07,30,High,B2B
O080,W076,SKU014,2024-08,34,Medium,D2C
O081,W001,SKU021,2024-09,38,Low,Marketplace
O082,W006,SKU028,2024-10,42,High,B2B
O083,W011,SKU035,2024-11,46,Medium,D2C
O084,W016,SKU042,2024-12,50,Low,Marketplace
O085,W021,SKU049,2024-01,54,High,B2B
O086,W026,SKU056,2024-02,58,Medium,D2C
O087,W031,SKU063,2024-03,62,Low,Marketplace
O088,W036,SKU070,2024-04,66,High,B2B
O089,W041,SKU077,2024-05,70,Medium,D2C
O090,W046,SKU084,2024-06,74,Low,Marketplace
O091,W051,SKU001,2024-07,78,High,B2B
O092,W056,SKU008,2024-08,82,Medium,D2C
O093,W061,SKU015,2024-09,86,Low,Marketplace
O094,W066,SKU022,2024-10,90,High,B2B
O095,W071,SKU029,2024-11,19,Medium,D2C
O096,W076,SKU036,2024-12,23,Low,Marketplace
O097,W001,SKU043,2024-01,27,High,B2B
O098,W006,SKU050,2024-02,31,Medium,D2C
O099,W011,SKU057,2024-03,35,Low,Marketplace
O100,W016,SKU064,2024-04,39,High,B2B
O101,W021,SKU071,2024-05,43,Medium,D2C
O102,W026,SKU078,2024-06,47,Low,Marketplace
O103,W031,SKU085,2024-07,51,High,B2B
O104,W036,SKU002,2024-08,55,Medium,D2C
O105,W041,SKU009,2024-09,59,Low,Marketplace
O106,W046,SKU016,2024-10,63,High,B2B
O107,W051,SKU023,2024-11,67,Medium,D2C
O108,W056,SKU030,2024-12,71,Low,Marketplace
O109,W061,SKU037,2024-01,75,High,B2B
O110,W066,SKU044,2024-02,79,Medium,D2C
O111,W071,SKU051,2024-03,83,Low,Marketplace
O112,W076,SKU058,2024-04,87,High,B2B
O113,W001,SKU065,2024-05,91,Medium,D2C
O114,W006,SKU072,2024-06,20,Low,Marketplace
O115,W011,SKU079,2024-07,24,High,B2B
O116,W016,SKU086,2024-08,28,Medium,D2C
O117,W021,SKU003,2024-09,32,Low,Marketplace
O118,W026,SKU010,2024-10,36,High,B2B
O119,W031,SKU017,2024-11,40,Medium,D2C
O120,W036,SKU024,2024-12,44,Low,Marketplace
