OrderID,ShipMonth,ShippedQty,TransitDays,OnTimeFlag,Carrier,FreightCost
O098,2024-02,24,2,Yes,CarrierB,213
O099,2024-03,27,3,Yes,CarrierC,222
O100,2024-04,39,4,Yes,CarrierD,231
O101,2024-05,42,5,No,CarrierA,240
O102,2024-06,45,6,Yes,CarrierB,249
O103,2024-07,48,1,Yes,CarrierC,258
O104,2024-08,51,2,Yes,CarrierD,267
O105,2024-09,54,3,Yes,CarrierA,276
O106,2024-10,57,4,No,CarrierB,285
O107,2024-11,60,5,Yes,CarrierC,294
O108,2024-12,63,6,Yes,CarrierD,303
O109,2024-01,75,1,Yes,CarrierA,312
O110,2024-02,78,2,Yes,CarrierB,321
O111,2024-03,81,3,No,CarrierC,330
O112,2024-04,84,4,Yes,CarrierD,339
O113,2024-05,87,5,Yes,CarrierA,348
O114,2024-06,15,6,Yes,CarrierB,357
O115,2024-07,18,1,Yes,CarrierC,366
O116,2024-08,21,2,No,CarrierD,375
O117,2024-09,24,3,Yes,CarrierA,124
O118,2024-10,36,4,Yes,CarrierB,133
O119,2024-11,39,5,Yes,CarrierC,142
O120,2024-12,42,6,Yes,CarrierD,151
