EnrollID,StudentID,SectionID,EnrollStatus,UnitsTaken,GradeBasis,WaitlistPosition
EN060,STU078,SEC088,Waitlist,4,Letter,4
EN061,STU001,SEC001,Enrolled,2,Letter,0
EN062,STU008,SEC004,Enrolled,2,Letter,0
EN063,STU015,SEC007,Enrolled,2,Letter,0
EN064,STU022,SEC010,Waitlist,2,Letter,8
EN065,STU029,SEC013,Enrolled,2,Letter,0
EN066,STU036,SEC016,Enrolled,2,Letter,0
EN067,STU043,SEC019,Enrolled,3,Letter,0
EN068,STU050,SEC022,Waitlist,3,Letter,4
EN069,STU057,SEC025,Enrolled,3,Letter,0
EN070,STU064,SEC028,Enrolled,3,Letter,0
EN071,STU071,SEC031,Enrolled,3,Letter,0
EN072,STU078,SEC034,Waitlist,4,Letter,8
EN073,STU001,SEC037,Enrolled,4,Letter,0
EN074,STU008,SEC040,Enrolled,4,Letter,0
EN075,STU015,SEC043,Enrolled,4,Letter,0
EN076,STU022,SEC046,Waitlist,4,Letter,4
EN077,STU029,SEC049,Enrolled,2,Letter,0
EN078,STU036,SEC052,Enrolled,2,Letter,0
EN079,STU043,SEC055,Enrolled,2,Letter,0
EN080,STU050,SEC058,Waitlist,2,Letter,8
EN081,STU057,SEC061,Enrolled,2,Letter,0
EN082,STU064,SEC064,Enrolled,2,Letter,0
EN083,STU071,SEC067,Enrolled,3,Letter,0
EN084,STU078,SEC070,Waitlist,3,Letter,4
EN085,STU001,SEC073,Enrolled,3,Letter,0
EN086,STU008,SEC076,Enrolled,3,Letter,0
EN087,STU015,SEC079,Enrolled,3,Letter,0
EN088,STU022,SEC082,Waitlist,4,Letter,8
EN089,STU029,SEC085,Enrolled,4,Letter,0
EN090,STU036,SEC088,Enrolled,4,Letter,0
EN091,STU043,SEC001,Enrolled,2,Letter,0
EN092,STU050,SEC004,Waitlist,2,Letter,4
EN093,STU057,SEC007,Enrolled,2,Letter,0
EN094,STU064,SEC010,Enrolled,2,Letter,0
EN095,STU071,SEC013,Enrolled,2,Letter,0
EN096,STU078,SEC016,Waitlist,2,Letter,8
EN097,STU001,SEC019,Enrolled,3,Letter,0
EN098,STU008,SEC022,Enrolled,3,Letter,0
EN099,STU015,SEC025,Enrolled,3,Letter,0
EN100,STU022,SEC028,Waitlist,3,Letter,4
EN101,STU029,SEC031,Enrolled,3,Letter,0
EN102,STU036,SEC034,Enrolled,4,Letter,0
EN103,STU043,SEC037,Enrolled,4,Letter,0
EN104,STU050,SEC040,Waitlist,4,Letter,8
EN105,STU057,SEC043,Enrolled,4,Letter,0
EN106,STU064,SEC046,Enrolled,4,Letter,0
EN107,STU071,SEC049,Enrolled,2,Letter,0
EN108,STU078,SEC052,Waitlist,2,Letter,4
EN109,STU001,SEC055,Enrolled,2,Letter,0
EN110,STU008,SEC058,Enrolled,2,Letter,0
EN111,STU015,SEC061,Enrolled,2,Letter,0
EN112,STU022,SEC064,Waitlist,2,Letter,8
EN113,STU029,SEC067,Enrolled,3,Letter,0
EN114,STU036,SEC070,Enrolled,3,Letter,0
EN115,STU043,SEC073,Enrolled,3,Letter,0
EN116,STU050,SEC076,Waitlist,3,Letter,4
EN117,STU057,SEC079,Enrolled,3,Letter,0
EN118,STU064,SEC082,Enrolled,4,Letter,0
EN119,STU071,SEC085,Enrolled,4,Letter,0
EN120,STU078,SEC088,Waitlist,4,Letter,8
